Time Stamp,Wind Speed (m/s),Horizontal Wind Direction (Degrees),U Vector (m/s),V Vector (m/s),W Vector (m/s),Temperature (TSM) (C),Relative Humidity (TSM) (%),Absolute Pressure (TSM) (hPa),Pitch Angle (Degrees),Roll Angle (Degrees),Temperature (AHT10) (C),Relative Humidity (AHT10) (%),Temperature (MS5611) (C),Absolute Pressure (MS5611) (hPa)
2025_10_9_13_14_7,1.88,160,-0.59,1.65,0.7,27.95,39.34,972.85,1.1,-0.1,38.6,44.53,43.25,970.82
2025_10_9_13_14_7,0.73,161,-0.15,0.45,0.55,27.89,39.3,972.74,2.2,0.3,38.58,44.51,43.25,971.05
2025_10_9_13_14_7,1.07,224,0.67,0.69,0.47,28.05,39.33,972.62,0.2,0.3,38.58,44.52,43.27,970.74
2025_10_9_13_14_7,1.87,218,1.01,1.28,0.92,28.05,39.35,972.5,1.2,0.4,38.57,44.52,43.24,970.66
2025_10_9_13_14_7,2.92,211,1.37,2.27,1.22,27.97,39.29,972.39,2.8,0.2,38.57,44.55,43.25,970.23
2025_10_9_13_14_8,2.55,215,1.32,1.86,1.15,27.92,39.36,972.26,-0.5,0.7,38.56,44.51,43.24,970.31
2025_10_9_13_14_8,0.89,218,0.46,0.6,0.46,28,39.32,972.16,1.3,0.4,38.57,44.48,43.25,970.35
2025_10_9_13_14_8,0.75,240,0.55,0.32,0.4,28.08,39.32,972.05,2.2,-4.6,38.56,44.47,43.24,970.19
2025_10_9_13_14_8,1.24,211,0.63,1.06,-0.13,27.79,39.32,972,-3.8,1.8,38.56,44.5,43.25,970.35
2025_10_9_13_14_8,2.13,195,0.5,1.89,-0.83,27.35,39.33,971.89,4.9,-16,38.55,44.43,43.25,970.11
2025_10_9_13_14_9,2.16,194,0.5,1.96,-0.75,27.21,39.28,971.83,-4,3.8,38.55,44.51,43.25,969.99
2025_10_9_13_14_9,2.52,198,0.73,2.23,-0.91,27.25,39.3,971.77,2.1,3.9,38.55,44.5,43.24,969.96
2025_10_9_13_14_9,2.38,192,0.47,2.15,-0.91,27.09,39.39,971.74,1.6,0,38.53,44.51,43.24,970.07
2025_10_9_13_14_9,2.39,189,0.35,2.18,-0.93,27.09,39.29,971.72,1.7,-0.8,38.53,44.5,43.24,969.84
2025_10_9_13_14_9,2.53,187,0.28,2.32,-0.97,27.1,39.34,971.71,1.6,2.9,38.54,44.51,43.24,969.96
2025_10_9_13_14_10,2.53,184,0.16,2.38,-0.87,26.99,39.33,971.71,0.3,0.3,38.55,44.5,43.24,970.07
2025_10_9_13_14_10,2.64,188,0.32,2.46,-0.89,26.97,39.36,971.73,1.8,0.4,38.54,44.42,43.24,970.07
2025_10_9_13_14_10,2.72,186,0.26,2.55,-0.91,26.93,39.36,971.72,1,-0.5,38.55,44.5,43.24,970.07
2025_10_9_13_14_10,2.59,180,0,2.47,-0.78,26.99,39.35,971.73,0.6,3.5,38.54,44.47,43.24,970.07
2025_10_9_13_14_10,2.55,180,0,2.43,-0.78,26.95,39.39,971.73,1.7,-2.1,38.53,44.5,43.22,969.92
2025_10_9_13_14_11,2.66,184,0.17,2.53,-0.8,26.91,39.41,971.74,1.2,0.7,38.51,44.48,43.22,970.03
2025_10_9_13_14_11,2.74,185,0.23,2.6,-0.82,26.9,39.38,971.76,2.3,0.5,38.53,44.46,43.22,970.03
2025_10_9_13_14_11,2.92,180,0.01,2.75,-0.97,26.92,39.37,971.77,0.6,1.9,38.54,44.47,43.22,969.92
2025_10_9_13_14_11,2.99,176,-0.18,2.75,-1.16,26.93,39.41,971.79,1.4,-0.3,38.53,44.51,43.22,970.03
2025_10_9_13_14_11,2.88,183,0.14,2.71,-0.97,26.95,39.42,971.8,1.9,1.4,38.51,44.45,43.22,970.15
2025_10_9_13_14_12,3.07,187,0.38,2.95,-0.76,26.81,39.39,971.82,2.4,0.1,38.52,44.47,43.2,970.23
2025_10_9_13_14_12,3.33,188,0.45,3.24,-0.63,26.84,39.39,971.83,1.8,-0.2,38.51,44.48,43.2,970.11
2025_10_9_13_14_12,3.42,189,0.53,3.33,-0.58,26.88,39.42,971.84,3,1.5,38.5,44.5,43.19,969.96
2025_10_9_13_14_12,3.45,192,0.71,3.31,-0.63,26.81,39.41,971.86,2,0.7,38.53,44.46,43.19,970.08
2025_10_9_13_14_12,3.84,193,0.82,3.68,-0.7,26.8,39.42,971.85,1.3,0.4,38.53,44.45,43.17,970.04
2025_10_9_13_14_13,4.01,189,0.63,3.92,-0.59,26.78,39.36,971.86,1.1,0.8,38.51,44.5,43.17,970.15
2025_10_9_13_14_13,4.18,188,0.59,4.08,-0.69,26.78,39.39,971.86,2.7,0.5,38.51,44.48,43.17,970.04
2025_10_9_13_14_13,4.2,184,0.27,4.04,-1.13,26.71,39.38,971.87,4.2,-2.4,38.51,44.47,43.17,970.04
2025_10_9_13_14_13,4.32,175,-0.39,4.18,-1.04,26.71,39.36,971.87,2.8,-0.7,38.51,44.48,43.15,970.12
2025_10_9_13_14_13,4.26,173,-0.52,4.15,-0.83,26.7,39.41,971.88,3.3,-2.2,38.52,44.48,43.15,970.23
2025_10_9_13_14_14,4.24,174,-0.44,4.1,-0.97,26.7,39.42,971.87,2.4,1.8,38.51,44.47,43.15,970.12
2025_10_9_13_14_14,4.2,176,-0.29,4.04,-1.09,26.72,39.41,971.87,3.1,-0.7,38.52,44.5,43.15,970.23
2025_10_9_13_14_14,4.14,177,-0.17,3.99,-1.1,26.78,39.41,971.85,1.4,-2,38.5,44.43,43.13,970.08
2025_10_9_13_14_14,4.19,181,0.07,4.01,-1.2,26.78,39.41,971.84,2.6,-2.3,38.49,44.4,43.13,970.08
2025_10_9_13_14_14,4.19,183,0.21,3.97,-1.32,26.8,39.39,971.83,4.2,-1.8,38.49,44.48,43.12,970.16
2025_10_9_13_14_15,4.18,185,0.37,3.92,-1.4,26.79,39.4,971.81,2.1,0,38.51,44.48,43.12,970.27
2025_10_9_13_14_15,4.29,185,0.36,4.04,-1.4,26.82,39.45,971.81,3.2,-1.2,38.52,44.48,43.12,970.27
2025_10_9_13_14_15,4.36,185,0.34,4.12,-1.4,26.85,39.38,971.79,1.9,1.1,38.51,44.48,43.12,970.16
2025_10_9_13_14_15,4.55,181,0.11,4.35,-1.35,26.78,39.43,971.78,2.9,-1,38.5,44.46,43.1,970.24
2025_10_9_13_14_15,4.57,182,0.16,4.33,-1.44,26.77,39.45,971.78,3.8,-0.9,38.49,44.44,43.1,970.35
2025_10_9_13_14_16,4.66,181,0.11,4.46,-1.35,26.73,39.43,971.79,2.4,-1,38.49,44.44,43.08,970.2
2025_10_9_13_14_16,4.66,181,0.1,4.45,-1.37,26.77,39.44,971.8,5.1,-1.5,38.48,44.47,43.08,970.08
2025_10_9_13_14_16,4.63,180,0,4.44,-1.29,26.75,39.47,971.81,4.3,-4,38.48,44.45,43.08,969.96
2025_10_9_13_14_16,4.84,180,-0.02,4.67,-1.27,26.73,39.44,971.81,2.7,2.5,38.47,44.5,43.08,970.08
2025_10_9_13_14_16,4.84,177,-0.28,4.66,-1.24,26.64,39.43,971.83,0.7,1,38.48,44.45,43.08,970.08
2025_10_9_13_14_17,4.79,174,-0.46,4.64,-1.11,26.63,39.41,971.85,1.2,0.7,38.47,44.48,43.06,970.04
2025_10_9_13_14_17,4.78,178,-0.13,4.73,-0.7,26.69,39.44,971.86,1.8,0.3,38.47,44.43,43.06,970.28
2025_10_9_13_14_17,4.49,181,0.06,4.38,-0.95,26.69,39.45,971.87,1.5,0.3,38.46,44.43,43.05,970.24
2025_10_9_13_14_17,4.31,182,0.18,4.2,-0.94,26.73,39.51,971.86,5.6,-2.9,38.46,44.46,43.05,970.12
2025_10_9_13_14_17,4.09,185,0.32,3.97,-0.95,26.72,39.47,971.87,-0.8,1.5,38.47,44.42,43.03,970.08
2025_10_9_13_14_18,3.74,191,0.73,3.58,-0.8,26.79,39.43,971.89,2.5,2.8,38.46,44.44,43.03,970.2
2025_10_9_13_14_18,3.43,190,0.6,3.3,-0.71,26.8,39.54,971.88,2.5,0.1,38.45,44.45,43.03,970.2
2025_10_9_13_14_18,3.2,184,0.19,3.08,-0.83,26.86,39.5,971.87,3.4,-2.9,38.47,44.4,43.01,970.04
2025_10_9_13_14_18,3.21,189,0.48,3.07,-0.82,26.86,39.49,971.85,1.5,0.4,38.47,44.4,43,970
2025_10_9_13_14_18,3.13,189,0.46,3,-0.77,26.92,39.51,971.86,-0.1,1.7,38.45,44.46,43.01,970.16
2025_10_9_13_14_19,3.12,188,0.43,2.93,-0.96,26.99,39.53,971.86,2.4,0,38.45,44.45,43,970.12
2025_10_9_13_14_19,3,184,0.19,2.74,-1.21,27.06,39.53,971.84,2.3,0.3,38.46,44.44,42.98,970.2
2025_10_9_13_14_19,2.82,184,0.16,2.57,-1.14,27.12,39.51,971.84,2.8,0.1,38.47,44.47,42.98,970.08
2025_10_9_13_14_19,2.92,183,0.16,2.64,-1.24,27.13,39.56,971.83,1.3,2,38.46,44.46,42.98,970.08
2025_10_9_13_14_19,3.01,185,0.23,2.69,-1.34,27.15,39.55,971.8,2.3,-0.1,38.45,44.41,42.98,969.97
2025_10_9_13_14_20,3.05,188,0.36,2.65,-1.47,27.22,39.56,971.79,1.2,1.6,38.48,44.46,42.96,970.05
2025_10_9_13_14_20,3.23,192,0.56,2.74,-1.62,27.17,39.6,971.74,1.1,0.9,38.46,44.5,42.96,970.05
2025_10_9_13_14_20,3.3,192,0.58,2.85,-1.56,27.13,39.61,971.72,1.2,1.5,38.44,44.44,42.94,970.01
2025_10_9_13_14_20,3.47,191,0.61,3.03,-1.58,27.2,39.59,971.69,1.4,0.4,38.44,44.43,42.94,969.89
2025_10_9_13_14_20,3.72,195,0.86,3.22,-1.65,27.15,39.61,971.64,2,0.5,38.43,44.44,42.94,969.77
2025_10_9_13_14_21,3.63,196,0.87,3.14,-1.6,27.16,39.61,971.6,0.6,0.4,38.43,44.43,42.93,969.73
2025_10_9_13_14_21,3.78,195,0.89,3.23,-1.75,27.17,39.65,971.56,1,1.1,38.43,44.45,42.93,969.73
2025_10_9_13_14_21,3.68,193,0.73,3.21,-1.66,27.16,39.61,971.5,1.3,1.3,38.46,44.46,42.91,969.46
2025_10_9_13_14_21,3.89,195,0.9,3.38,-1.7,27.2,39.6,971.44,1.9,-0.2,38.43,44.37,42.91,969.58
2025_10_9_13_14_21,3.83,194,0.85,3.37,-1.62,27.19,39.65,971.38,2.6,1.3,38.44,44.45,42.89,969.54
2025_10_9_13_14_22,3.83,194,0.81,3.35,-1.67,27.23,39.65,971.32,1.1,0,38.43,44.48,42.87,969.5
2025_10_9_13_14_22,3.38,191,0.57,3.01,-1.44,27.14,39.65,971.25,1,0,38.42,44.47,42.87,969.38
2025_10_9_13_14_22,3.12,189,0.45,2.75,-1.4,27.15,39.65,971.18,1.7,1.1,38.44,44.45,42.86,969.34
2025_10_9_13_14_22,2.75,182,0.07,2.48,-1.17,27.16,39.65,971.1,1.2,0.7,38.43,44.47,42.86,969.34
2025_10_9_13_14_22,2.81,184,0.19,2.5,-1.27,27.13,39.68,971.01,2.3,0.4,38.41,44.41,42.84,969.19
2025_10_9_13_14_23,2.13,175,-0.17,2.05,-0.56,27.19,39.67,970.93,0.4,1.1,38.42,44.46,42.84,968.95
2025_10_9_13_14_23,1.98,159,-0.71,1.83,-0.23,27.2,39.74,970.83,2.3,0.5,38.39,44.46,42.84,968.95
2025_10_9_13_14_23,2.48,194,0.59,2.41,-0.13,27.17,39.72,970.73,0.2,0.5,38.42,44.5,42.84,968.72
2025_10_9_13_14_23,2.53,204,1.02,2.32,-0.12,27.26,39.75,970.64,1.2,0.8,38.4,44.5,42.82,968.8
2025_10_9_13_14_23,0.5,264,0.34,0.04,0.36,27.37,39.76,970.54,2.2,0.8,38.41,44.44,42.84,968.6
2025_10_9_13_14_24,2.69,217,1.6,2.16,0.01,27.38,39.77,970.44,0.6,0.4,38.41,44.51,42.84,968.6
2025_10_9_13_14_24,1.69,153,-0.75,1.5,-0.12,27.26,39.77,970.33,0.5,0,38.4,44.48,42.82,968.44
2025_10_9_13_14_24,1.95,163,-0.57,1.83,-0.33,27.28,39.79,970.22,1.3,-0.3,38.4,44.49,42.82,968.33
2025_10_9_13_14_24,2.53,194,0.59,2.45,-0.19,27.18,39.81,970.1,0.8,-0.2,38.39,44.51,42.82,968.09
2025_10_9_13_14_24,2.91,196,0.81,2.8,0.02,27.22,39.83,970.01,1.8,1.6,38.39,44.54,42.8,968.17
2025_10_9_13_14_25,2,195,0.51,1.93,-0.11,27.29,39.77,969.89,1.2,0.3,38.39,44.5,42.8,967.94
2025_10_9_13_14_25,3.01,224,2.08,2.18,0.02,27.29,39.8,969.77,2.4,0.9,38.37,44.52,42.8,967.82
2025_10_9_13_14_25,0.39,234,0.27,0.19,0.22,27.33,39.81,969.67,0.5,0.6,38.37,44.5,42.8,967.82
2025_10_9_13_14_25,0.46,224,0.18,0.18,0.38,27.23,39.86,969.55,1.4,0.6,38.37,44.52,42.8,967.58
2025_10_9_13_14_25,0.7,178,-0.02,0.45,0.53,27.26,39.83,969.43,0.9,1.7,38.37,44.54,42.8,967.58
2025_10_9_13_14_26,0.65,109,-0.35,0.12,0.53,27.2,39.82,969.31,1.3,0.1,38.38,44.57,42.8,967.47
2025_10_9_13_14_26,1.17,233,0.86,0.65,0.46,27.2,39.81,969.21,0.4,0.7,38.39,44.57,42.79,967.31
2025_10_9_13_14_26,0.91,237,0.73,0.47,0.29,27.15,39.83,969.1,1.5,-0.2,38.37,44.6,42.79,967.19
2025_10_9_13_14_26,0.72,75,-0.49,-0.13,0.51,27.24,39.86,968.98,1.7,1.5,38.36,44.55,42.79,966.96
2025_10_9_13_14_26,2.84,192,0.53,2.54,1.16,27.44,39.86,968.88,1.3,1.1,38.37,44.63,42.79,966.84
2025_10_9_13_14_27,1.49,168,-0.27,1.24,0.78,27.43,39.87,968.76,0.2,0.2,38.37,44.59,42.79,966.72
2025_10_9_13_14_27,0.95,63,-0.67,-0.33,0.58,27.3,39.83,968.67,1.1,0.4,38.38,44.63,42.77,966.68
2025_10_9_13_14_27,0.91,73,-0.73,-0.22,0.49,27.38,39.83,968.55,1.7,0,38.37,44.63,42.77,966.57
2025_10_9_13_14_27,1.09,68,-0.81,-0.32,0.65,27.3,39.92,968.45,1.1,1.2,38.37,44.62,42.77,966.57
2025_10_9_13_14_27,2.81,185,0.25,2.61,1.02,27.39,39.85,968.33,1.2,0.1,38.36,44.63,42.77,966.45
2025_10_9_13_14_28,2.98,191,0.51,2.74,1.03,27.35,39.88,968.22,1.5,2.1,38.35,44.68,42.75,966.06
2025_10_9_13_14_28,2.25,192,0.43,2.05,0.82,27.36,39.86,968.1,0.3,-0.1,38.34,44.7,42.75,966.06
2025_10_9_13_14_28,1.38,189,0.19,1.17,0.7,27.36,39.88,967.98,1.3,0.6,38.35,44.68,42.75,966.06
2025_10_9_13_14_28,1.47,240,1.07,0.62,0.79,27.4,39.87,967.86,1.7,-0.8,38.33,44.64,42.75,965.94
2025_10_9_13_14_28,2.01,224,1.06,1.1,1.31,27.54,39.89,967.76,1.2,0.7,38.35,44.7,42.75,965.71
2025_10_9_13_14_29,2.05,222,1.23,1.37,0.89,27.68,39.85,967.66,0.4,1.2,38.33,44.7,42.75,965.71
2025_10_9_13_14_29,2.68,219,1.53,1.9,1.1,27.6,39.88,967.53,1.1,-0.5,38.32,44.71,42.75,965.47
2025_10_9_13_14_29,2.39,216,1.27,1.78,0.98,27.68,39.86,967.42,1.9,0.8,38.32,44.7,42.75,965.47
2025_10_9_13_14_29,2.37,200,0.74,2.01,1.03,27.46,39.83,967.3,0.6,0.7,38.32,44.76,42.75,965.35
2025_10_9_13_14_29,1.46,215,0.72,1.03,0.76,27.49,39.84,967.17,0.3,0.2,38.31,44.74,42.74,965.08
2025_10_9_13_14_30,2.65,217,1.4,1.83,1.31,27.58,39.87,967.07,1.3,0.5,38.31,44.74,42.75,965.12
2025_10_9_13_14_30,1.67,216,0.73,0.99,1.12,27.69,39.83,966.95,1.5,1.2,38.3,44.71,42.74,964.96
2025_10_9_13_14_30,1.55,220,0.87,1.04,0.73,27.66,39.81,966.83,0.5,0.9,38.3,44.72,42.74,964.84
2025_10_9_13_14_30,2.17,217,1.18,1.58,0.91,27.59,39.88,966.72,1,-0.5,38.31,44.75,42.74,964.73
2025_10_9_13_14_30,2.97,204,1.14,2.54,1.03,27.51,39.84,966.6,1.4,1.8,38.28,44.74,42.74,964.61
2025_10_9_13_14_31,2.35,187,0.27,2.15,0.92,27.37,39.83,966.47,-0.7,0,38.31,44.77,42.72,964.57
2025_10_9_13_14_31,3.23,213,1.66,2.55,1.07,27.4,39.81,966.35,1,0.5,38.3,44.77,42.74,964.49
2025_10_9_13_14_31,2.54,215,1.39,1.95,0.84,27.58,39.81,966.25,2.6,1,38.3,44.79,42.72,964.22
2025_10_9_13_14_31,2.31,219,1.38,1.69,0.75,27.58,39.85,966.13,0.2,-0.4,38.3,44.78,42.72,964.1
2025_10_9_13_14_31,2.9,214,1.51,2.22,1.12,27.57,39.83,966.02,2,0.9,38.28,44.8,42.72,963.98
2025_10_9_13_14_32,2,219,1.17,1.42,0.79,27.55,39.86,965.89,0.1,0.5,38.28,44.75,42.72,963.87
2025_10_9_13_14_32,2.04,209,0.95,1.68,0.65,27.51,39.78,965.78,0.8,0.6,38.27,44.69,42.72,963.75
2025_10_9_13_14_32,2.25,214,1.22,1.78,0.64,27.49,39.82,965.66,1.1,1.9,38.28,44.73,42.72,963.75
2025_10_9_13_14_32,2.57,203,0.95,2.21,0.9,27.45,39.85,965.54,0.3,-0.2,38.29,44.77,42.7,963.59
2025_10_9_13_14_32,2.48,215,1.24,1.75,1.25,27.5,39.81,965.41,2.2,0.8,38.26,44.79,42.72,963.4
2025_10_9_13_14_33,1.97,223,1.22,1.32,0.82,27.49,39.77,965.31,-0.4,0.9,38.28,44.76,42.7,963.47
2025_10_9_13_14_33,2.46,213,1.27,1.98,0.72,27.28,39.85,965.19,2.2,0.9,38.26,44.75,42.7,963.36
2025_10_9_13_14_33,2.07,218,1.24,1.57,0.52,27.32,39.77,965.06,0.7,0.1,38.26,44.78,42.7,963.12
2025_10_9_13_14_33,2.07,226,1.44,1.39,0.49,27.35,39.78,964.95,0.5,0.9,38.27,44.75,42.7,963
2025_10_9_13_14_33,2.01,219,1.21,1.48,0.62,27.38,39.76,964.83,0.8,1.8,38.26,44.78,42.7,963
2025_10_9_13_14_34,1.98,220,1.23,1.48,0.46,27.37,39.8,964.73,0.5,-0.8,38.22,44.75,42.7,962.89
2025_10_9_13_14_34,2.01,212,1.03,1.63,0.56,27.32,39.81,964.6,1.1,1.8,38.24,44.77,42.7,962.65
2025_10_9_13_14_34,1.91,219,1.16,1.43,0.51,27.34,39.72,964.5,0.4,1.6,38.23,44.75,42.68,962.61
2025_10_9_13_14_34,1.95,226,1.35,1.3,0.58,27.46,39.73,964.38,1,0.2,38.24,44.76,42.7,962.65
2025_10_9_13_14_34,2.06,215,1.13,1.6,0.64,27.48,39.85,964.27,1.6,1.6,38.21,44.77,42.68,962.26
2025_10_9_13_14_35,1.87,227,1.31,1.22,0.55,27.35,39.74,964.14,-0.1,0.2,38.23,44.8,42.68,962.14
2025_10_9_13_14_35,1.86,231,1.4,1.14,0.42,27.23,39.8,964.03,-0.6,0.9,38.22,44.78,42.68,962.14
2025_10_9_13_14_35,1.77,223,1.17,1.27,0.42,27.38,39.78,963.91,2.8,1.1,38.22,44.73,42.68,962.03
2025_10_9_13_14_35,2.09,228,1.47,1.34,0.65,27.32,39.77,963.78,0,-0.2,38.23,44.77,42.68,961.91
2025_10_9_13_14_35,2.9,212,1.45,2.35,0.9,27.39,39.79,963.67,0.7,1.3,38.23,44.75,42.67,961.64
2025_10_9_13_14_36,1.64,224,1.12,1.14,0.39,27.37,39.74,963.56,0.8,1.5,38.22,44.77,42.68,961.67
2025_10_9_13_14_36,1.74,221,1.1,1.27,0.49,27.36,39.79,963.45,0.9,-1.3,38.21,44.76,42.67,961.4
2025_10_9_13_14_36,2.11,222,1.29,1.45,0.82,27.48,39.77,963.34,0.8,1.5,38.24,44.76,42.67,961.4
2025_10_9_13_14_36,1.46,227,0.97,0.91,0.6,27.52,39.76,963.21,0.6,1.2,38.22,44.66,42.67,961.28
2025_10_9_13_14_36,1.46,227,1.03,0.96,0.37,27.5,39.8,963.1,1.8,0.6,38.22,44.77,42.67,961.28
2025_10_9_13_14_37,1.58,225,1.09,1.07,0.4,27.37,39.78,962.97,-0.2,-0.4,38.22,44.8,42.67,961.17
2025_10_9_13_14_37,1.66,219,1.02,1.26,0.36,27.34,39.78,962.85,0.1,1.3,38.24,44.73,42.67,960.81
2025_10_9_13_14_37,1.44,228,1.04,0.94,0.32,27.38,39.75,962.75,1.2,1.4,38.24,44.78,42.65,960.89
2025_10_9_13_14_37,1.72,225,1.16,1.15,0.53,27.39,39.79,962.63,-0.1,1.4,38.24,44.76,42.65,960.66
2025_10_9_13_14_37,1.08,239,0.86,0.52,0.4,27.41,39.79,962.5,2.1,0.6,38.24,44.74,42.65,960.66
2025_10_9_13_14_38,1.34,213,0.69,1.05,0.46,27.46,39.75,962.39,-0.3,0.6,38.25,44.77,42.65,960.42
2025_10_9_13_14_38,1.52,229,1.1,0.97,0.38,27.4,39.78,962.27,2.2,0.9,38.24,44.77,42.65,960.3
2025_10_9_13_14_38,1.67,230,1.16,0.98,0.7,27.48,39.8,962.16,0.1,0.8,38.23,44.75,42.65,960.3
2025_10_9_13_14_38,1.41,227,0.97,0.91,0.46,27.44,39.81,962.04,1.3,0.3,38.24,44.81,42.63,960.15
2025_10_9_13_14_38,1.99,215,1.09,1.55,0.6,27.38,39.8,961.93,0.1,1.2,38.22,44.75,42.63,959.91
2025_10_9_13_14_39,2.78,217,1.57,2.11,0.91,27.24,39.79,961.81,1.6,0.1,38.25,44.8,42.63,959.8
2025_10_9_13_14_39,2.35,194,0.54,2.15,0.78,27.1,39.77,961.68,0.5,0.7,38.23,44.82,42.63,959.68
2025_10_9_13_14_39,3.33,214,1.74,2.61,1.1,27.09,39.74,961.57,0.9,1.7,38.24,44.76,42.63,959.68
2025_10_9_13_14_39,3.2,215,1.71,2.48,1.11,27.1,39.8,961.44,2.5,-0.2,38.23,44.76,42.63,959.44
2025_10_9_13_14_39,3.22,219,1.92,2.34,1.07,27.15,39.78,961.34,-0.7,0.5,38.22,44.76,42.63,959.44
2025_10_9_13_14_40,2.83,208,1.24,2.35,0.97,27.12,39.78,961.23,2.1,1.2,38.23,44.76,42.63,959.33
2025_10_9_13_14_40,2.84,215,1.53,2.19,0.98,27.11,39.82,961.11,0.7,0.6,38.24,44.78,42.61,959.41
2025_10_9_13_14_40,2.84,213,1.43,2.17,1.14,27.25,39.82,960.99,0.4,0,38.2,44.76,42.61,959.17
2025_10_9_13_14_40,1.67,209,0.68,1.25,0.87,27.2,39.83,960.88,0.8,0.6,38.22,44.78,42.61,958.94
2025_10_9_13_14_40,3.05,219,1.81,2.21,1.07,27.13,39.83,960.76,0.3,1.2,38.21,44.73,42.61,958.82
2025_10_9_13_14_41,2.33,216,1.29,1.8,0.72,27.16,39.89,960.65,2.1,0.8,38.19,44.7,42.61,958.7
2025_10_9_13_14_41,3.07,218,1.81,2.28,0.97,27.09,39.85,960.53,0.3,-0.4,38.23,44.79,42.6,958.55
2025_10_9_13_14_41,3.28,217,1.86,2.45,1.15,27.13,39.86,960.42,1.2,2,38.21,44.76,42.61,958.47
2025_10_9_13_14_41,2.44,221,1.44,1.68,1.04,27.26,39.82,960.3,0.8,0.4,38.22,44.77,42.6,958.43
2025_10_9_13_14_41,2.82,216,1.56,2.15,0.93,27.18,39.85,960.19,1.7,0.3,38.2,44.76,42.6,958.43
2025_10_9_13_14_42,3.05,216,1.72,2.33,0.98,27.08,39.84,960.06,0.7,0.3,38.18,44.69,42.6,958.08
2025_10_9_13_14_42,1.96,209,0.91,1.67,0.49,26.95,39.9,959.93,-0.4,0.1,38.19,44.75,42.6,958.08
2025_10_9_13_14_42,1.18,219,0.75,0.91,0.14,26.97,39.82,959.82,1.2,1.6,38.22,44.77,42.6,957.96
2025_10_9_13_14_42,1.77,219,1.06,1.33,0.51,27.17,39.85,959.71,1.7,1.2,38.21,44.8,42.58,957.69
2025_10_9_13_14_42,2.72,211,1.34,2.21,0.88,27.05,39.89,959.6,0.9,0.7,38.19,44.76,42.58,957.57
2025_10_9_13_14_43,2.93,215,1.58,2.25,0.99,26.97,39.86,959.48,-0.9,-0.3,38.19,44.75,42.58,957.69
2025_10_9_13_14_43,2.49,219,1.4,1.75,1.08,27.13,39.85,959.37,2.9,2.7,38.18,44.69,42.58,957.33
2025_10_9_13_14_43,2.77,211,1.35,2.22,0.96,27.29,39.87,959.25,0.9,-1.2,38.2,44.74,42.58,957.33
2025_10_9_13_14_43,2.02,213,1.02,1.6,0.7,27.24,39.89,959.14,0.8,1.3,38.19,44.78,42.58,957.22
2025_10_9_13_14_43,1.76,218,1.04,1.3,0.58,27.25,39.91,959.03,0.4,0.2,38.2,44.78,42.58,957.22
2025_10_9_13_14_44,1.71,207,0.75,1.45,0.51,27.22,39.9,958.92,1.6,0.2,38.17,44.75,42.56,956.94
2025_10_9_13_14_44,1.65,230,1.2,1.02,0.52,27.2,39.87,958.8,0.2,1.2,38.17,44.77,42.56,956.82
2025_10_9_13_14_44,2.16,200,0.69,1.95,0.61,27.04,39.92,958.68,0.8,1.2,38.15,44.71,42.56,956.94
2025_10_9_13_14_44,2.55,200,0.83,2.33,0.63,26.79,39.9,958.56,1.5,1.1,38.18,44.78,42.56,956.82
2025_10_9_13_14_44,2.27,194,0.52,2.07,0.77,26.76,39.91,958.43,-0.3,1.3,38.18,44.76,42.56,956.71
2025_10_9_13_14_45,3.1,197,0.85,2.78,1.08,26.77,39.92,958.31,2.2,-0.3,38.15,44.73,42.55,956.32
2025_10_9_13_14_45,2.6,194,0.57,2.39,0.85,26.81,39.95,958.2,0.8,1.2,38.16,44.79,42.55,956.43
2025_10_9_13_14_45,2.55,195,0.64,2.31,0.86,26.86,39.93,958.09,2.1,0.2,38.16,44.72,42.55,956.2
2025_10_9_13_14_45,2.44,216,1.37,1.9,0.7,26.99,39.93,957.98,0.7,1.4,38.16,44.8,42.55,956.08
2025_10_9_13_14_45,2.38,200,0.77,2.12,0.75,26.99,39.96,957.87,1.5,0.3,38.16,44.8,42.55,955.96
2025_10_9_13_14_46,2.22,198,0.66,2.05,0.57,26.81,39.93,957.75,-0.1,1,38.14,44.81,42.53,955.69
2025_10_9_13_14_46,2.3,201,0.78,2.07,0.63,26.73,39.96,957.63,1.2,0.5,38.15,44.74,42.53,955.81
2025_10_9_13_14_46,2.6,196,0.67,2.39,0.76,26.75,39.91,957.5,1,2.1,38.16,44.81,42.53,955.57
2025_10_9_13_14_46,2.37,209,1.09,1.93,0.85,26.87,39.98,957.4,0.6,0.7,38.17,44.78,42.51,955.54
2025_10_9_13_14_46,2.69,202,0.97,2.36,0.86,26.74,39.91,957.27,1.7,0.5,38.17,44.81,42.51,955.42
2025_10_9_13_14_47,2.87,198,0.82,2.59,0.94,26.76,39.98,957.15,0.4,1.5,38.15,44.8,42.51,955.3
2025_10_9_13_14_47,2.82,201,0.98,2.48,0.9,26.75,39.99,957.04,2.9,1,38.16,44.78,42.51,955.18
2025_10_9_13_14_47,1.86,216,1.07,1.47,0.4,26.74,40.01,956.92,-0.9,-0.4,38.16,44.78,42.51,955.07
2025_10_9_13_14_47,1.69,228,1.24,1.11,0.28,26.64,39.97,956.81,1.2,0.9,38.14,44.86,42.49,954.91
