Time Stamp,Wind Speed (m/s),2D Wind Speed (m/s),Horizontal Wind Direction (Degrees),U Vector (m/s),V Vector (m/s),W Vector (m/s),Temperature (TSM) (C),Relative Humidity (TSM) (%),Dew Point (TSM) (C),Absolute Pressure (TSM) (hPa),Air Density (TSM) (kg/m^3),Pitch Angle (Degrees),Roll Angle (Degrees),Magnetic Heading (Degrees),True Heading (Degrees),Temperature (AHT10) (C),Relative Humidity (AHT10) (%),Temperature (MS5611) (C),Absolute Pressure (MS5611) (hPa)
2024_3_27_11_34_18,0.82,0.78,214,0.43,0.64,-0.28,26.7,100.0,28.92,1015.36,1.1596199,8.8,-5.2,333,333,34.68,65.01,34.59,1015.17
2024_3_27_11_34_18,0.42,0.37,220,0.24,0.28,-0.19,26.89,100.0,28.92,1015.35,1.1588821,8.8,-5.2,333,333,34.68,65.0,34.59,1015.17
2024_3_27_11_34_18,1.1,1.07,184,0.07,1.06,-0.25,26.0,100.0,28.94,1015.36,1.1623417,8.6,-5.1,333,333,34.68,64.99,34.59,1015.06
2024_3_27_11_34_18,0.96,0.96,175,-0.08,0.95,-0.08,26.23,100.0,28.93,1015.4,1.1614952,9.1,-5.1,332,332,34.68,65.0,34.59,1015.17
2024_3_27_11_34_18,1.44,1.44,172,-0.2,1.42,-0.06,25.37,100.0,28.93,1015.34,1.1647927,8.8,-5.0,332,332,34.67,64.98,34.59,1015.17
2024_3_27_11_34_18,1.26,1.26,170,-0.21,1.24,-0.09,25.26,100.0,28.93,1015.42,1.1652989,9.1,-4.8,333,333,34.67,65.0,34.56,1015.11
2024_3_27_11_34_18,1.31,1.31,176,-0.09,1.3,0.01,25.29,100.0,28.96,1015.32,1.1650178,8.7,-4.8,333,333,34.67,65.01,34.56,1015.11
2024_3_27_11_34_19,1.67,1.67,169,-0.31,1.64,-0.11,25.14,100.0,28.95,1015.3,1.165614,8.7,-4.6,333,333,34.66,65.02,34.59,1015.06
2024_3_27_11_34_19,1.48,1.48,171,-0.23,1.46,-0.05,25.37,100.0,28.93,1015.33,1.1647683,9.0,-4.6,334,334,34.66,65.02,34.56,1015.11
2024_3_27_11_34_19,1.51,1.44,151,-0.71,1.25,-0.46,25.68,100.0,28.93,1015.3,1.1635309,8.5,-4.7,333,333,34.66,65.03,34.56,1015.0
2024_3_27_11_34_19,1.08,1.06,174,-0.12,1.06,-0.17,26.13,100.0,28.94,1015.31,1.1617765,9.1,-4.4,334,334,34.66,65.04,34.56,1015.11
2024_3_27_11_34_19,1.44,1.41,167,-0.32,1.37,-0.29,26.02,100.0,28.92,1015.33,1.1622376,8.8,-4.4,333,333,34.66,65.06,34.59,1015.17
2024_3_27_11_34_19,0.99,0.99,182,0.04,0.99,-0.02,26.2,100.0,28.92,1015.32,1.1615456,9.0,-4.1,333,333,34.65,65.07,34.59,1015.17
2024_3_27_11_34_19,0.42,0.4,176,-0.03,0.4,-0.12,26.46,100.0,28.94,1015.28,1.1604877,8.8,-4.2,333,333,34.66,65.07,34.59,1015.06
2024_3_27_11_34_19,0.28,0.27,213,0.15,0.23,-0.05,27.02,100.0,28.94,1015.32,1.1583259,9.2,-3.9,333,333,34.66,65.08,34.6,1015.1
2024_3_27_11_34_19,0.98,0.93,251,0.88,0.3,-0.3,26.05,100.0,28.94,1015.33,1.1620897,8.9,-4.0,334,334,34.65,65.1,34.6,1015.22
2024_3_27_11_34_19,0.63,0.52,244,0.47,0.23,-0.35,26.2,100.0,28.92,1015.33,1.1615597,9.0,-4.0,333,333,34.66,65.12,34.6,1015.1
2024_3_27_11_34_20,0.45,0.44,4,-0.03,-0.44,-0.07,26.82,100.0,28.94,1015.31,1.15909,8.9,-3.7,334,334,34.66,65.13,34.62,1015.03
2024_3_27_11_34_20,0.23,0.23,344,0.06,-0.22,-0.04,26.68,100.0,28.97,1015.32,1.1596384,8.4,-3.8,334,334,34.66,65.13,34.62,1015.03
2024_3_27_11_34_20,0.39,0.39,123,-0.32,0.21,-0.02,26.55,100.0,28.94,1015.32,1.1601676,9.0,-3.7,333,333,34.65,65.13,34.62,1015.15
2024_3_27_11_34_20,0.68,0.67,162,-0.21,0.63,-0.14,25.91,100.0,28.95,1015.3,1.1626153,8.5,-3.7,334,334,34.66,65.12,34.62,1015.15
2024_3_27_11_34_20,0.79,0.78,165,-0.2,0.75,-0.14,25.93,100.0,28.96,1015.28,1.1624818,9.1,-3.5,334,334,34.66,65.13,34.62,1015.15
2024_3_27_11_34_20,1.67,1.65,159,-0.6,1.54,-0.25,25.68,100.0,28.97,1015.35,1.1635374,8.7,-3.6,334,334,34.66,65.16,34.62,1015.15
2024_3_27_11_34_20,1.62,1.62,189,0.25,1.6,0.02,24.96,100.0,28.93,1015.25,1.1662521,9.0,-3.4,334,334,34.66,65.16,34.62,1015.15
2024_3_27_11_34_20,1.78,1.73,30,-0.87,-1.49,-0.42,25.15,100.0,28.94,1015.33,1.1656013,8.8,-3.3,334,334,34.66,65.18,34.62,1015.15
2024_3_27_11_34_20,1.37,1.27,145,-0.72,1.04,-0.53,25.23,100.0,28.94,1015.35,1.1653138,8.9,-3.3,334,334,34.66,65.19,34.62,1015.15
2024_3_27_11_34_20,2.42,2.31,151,-1.11,2.02,-0.72,25.16,100.0,28.94,1015.31,1.1655588,8.8,-3.3,334,334,34.66,65.2,34.64,1015.08
2024_3_27_11_34_21,1.64,1.57,178,-0.05,1.57,-0.47,25.04,100.0,28.95,1015.34,1.1660312,9.0,-3.3,333,333,34.66,65.19,34.64,1015.19
2024_3_27_11_34_21,1.21,1.19,201,0.42,1.11,-0.26,25.27,100.0,28.95,1015.28,1.1650752,8.5,-3.2,334,334,34.66,65.2,34.64,1015.08
2024_3_27_11_34_21,1.66,1.65,199,0.53,1.57,-0.1,25.39,100.0,28.97,1015.31,1.1646055,8.3,-3.5,334,334,34.67,65.22,34.64,1015.19
