Time Stamp,Wind Speed (m/s),2D Wind Speed (m/s),Horizontal Wind Direction (Degrees),U Vector (m/s),V Vector (m/s),W Vector (m/s),Temperature (TSM) (C),Relative Humidity (TSM) (%),Dew Point (TSM) (C),Absolute Pressure (TSM) (hPa),Air Density (TSM) (kg/m^3),Pitch Angle (Degrees),Roll Angle (Degrees),Magnetic Heading (Degrees),True Heading (Degrees),Temperature (AHT10) (C),Relative Humidity (AHT10) (%),Temperature (MS5611) (C),Absolute Pressure (MS5611) (hPa)
2025_10_9_13_12_33,,01.27,D,143,U,-00.75,V,01.02,W,00.03,T,29.28,H,43.39,P,1000.50,PI,-000.3,RO,-000.2,MD,008,38.30,48.57,42.44,998.61
2025_10_9_13_12_34,,01.16,D,147,U,-00.64,V,00.97,W,-00.03,T,29.11,H,43.36,P,1000.51,PI,-000.2,RO,-000.8,MD,009,38.31,48.56,42.46,998.65
2025_10_9_13_12_34,,01.30,D,148,U,-00.68,V,01.10,W,-00.00,T,29.12,H,43.36,P,1000.52,PI,-000.5,RO,-000.0,MD,008,38.30,48.52,42.44,998.72
2025_10_9_13_12_34,,01.40,D,147,U,-00.75,V,01.18,W,-00.03,T,29.16,H,43.34,P,1000.51,PI,-000.3,RO,-000.1,MD,009,38.30,48.55,42.46,998.76
2025_10_9_13_12_34,,01.45,D,147,U,-00.79,V,01.22,W,00.04,T,29.14,H,43.32,P,1000.50,PI,-000.0,RO,-001.0,MD,009,38.30,48.49,42.46,998.65
2025_10_9_13_12_34,,01.50,D,147,U,-00.81,V,01.26,W,-00.01,T,29.13,H,43.29,P,1000.50,PI,-000.2,RO,-000.2,MD,009,38.31,48.57,42.46,998.65
2025_10_9_13_12_35,,01.46,D,147,U,-00.79,V,01.22,W,-00.01,T,29.12,H,43.28,P,1000.51,PI,000.0,RO,-000.7,MD,008,38.32,48.53,42.46,998.65
2025_10_9_13_12_35,,01.43,D,147,U,-00.79,V,01.19,W,00.02,T,29.12,H,43.27,P,1000.50,PI,-000.3,RO,-000.8,MD,009,38.32,48.49,42.48,998.68
2025_10_9_13_12_35,,01.43,D,147,U,-00.78,V,01.20,W,-00.02,T,29.15,H,43.25,P,1000.51,PI,-000.4,RO,000.4,MD,009,38.31,48.51,42.48,998.68
2025_10_9_13_12_35,,01.45,D,147,U,-00.79,V,01.21,W,-00.00,T,29.14,H,43.21,P,1000.50,PI,000.0,RO,-000.1,MD,008,38.32,48.51,42.48,998.68
2025_10_9_13_12_35,,01.31,D,148,U,-00.68,V,01.11,W,00.06,T,29.22,H,43.22,P,1000.49,PI,-000.0,RO,-000.5,MD,009,38.33,48.51,42.48,998.57
2025_10_9_13_12_36,,01.30,D,150,U,-00.64,V,01.12,W,00.06,T,29.26,H,43.24,P,1000.50,PI,-000.2,RO,-000.1,MD,009,38.31,48.49,42.48,998.68
2025_10_9_13_12_36,,01.40,D,148,U,-00.74,V,01.19,W,00.01,T,29.20,H,43.15,P,1000.50,PI,-000.0,RO,-000.5,MD,009,38.33,48.49,42.49,998.72
2025_10_9_13_12_36,,01.40,D,152,U,-00.65,V,01.24,W,-00.05,T,29.26,H,43.15,P,1000.50,PI,-000.2,RO,-000.1,MD,009,38.32,48.49,42.49,998.72
2025_10_9_13_12_36,,01.54,D,158,U,-00.56,V,01.43,W,-00.04,T,29.24,H,43.12,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.34,48.50,42.49,998.61
2025_10_9_13_12_36,,01.46,D,161,U,-00.49,V,01.38,W,-00.05,T,29.18,H,43.16,P,1000.50,PI,-000.1,RO,-000.3,MD,008,38.33,48.48,42.51,998.65
2025_10_9_13_12_37,,01.37,D,162,U,-00.42,V,01.30,W,-00.05,T,29.23,H,43.11,P,1000.50,PI,000.0,RO,-000.7,MD,008,38.34,48.47,42.49,998.72
2025_10_9_13_12_37,,01.25,D,162,U,-00.38,V,01.19,W,-00.10,T,29.30,H,43.09,P,1000.50,PI,-000.1,RO,000.0,MD,009,38.33,48.45,42.51,998.76
2025_10_9_13_12_37,,01.24,D,165,U,-00.33,V,01.19,W,-00.07,T,29.30,H,43.02,P,1000.51,PI,-000.0,RO,-000.4,MD,009,38.36,48.51,42.51,998.65
2025_10_9_13_12_37,,01.25,D,162,U,-00.39,V,01.18,W,-00.04,T,29.23,H,43.06,P,1000.50,PI,-000.0,RO,-000.3,MD,009,38.35,48.46,42.51,998.53
2025_10_9_13_12_37,,01.15,D,159,U,-00.41,V,01.07,W,-00.01,T,29.25,H,43.06,P,1000.51,PI,-000.1,RO,-000.3,MD,009,38.35,48.43,42.51,998.65
2025_10_9_13_12_38,,01.04,D,158,U,-00.38,V,00.97,W,-00.00,T,29.32,H,43.01,P,1000.51,PI,-000.1,RO,-000.3,MD,009,38.36,48.44,42.53,998.69
2025_10_9_13_12_38,,00.92,D,155,U,-00.39,V,00.82,W,00.12,T,29.62,H,43.03,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.35,48.42,42.53,998.69
2025_10_9_13_12_38,,00.75,D,150,U,-00.37,V,00.64,W,00.16,T,29.65,H,43.00,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.34,48.37,42.53,998.57
2025_10_9_13_12_38,,00.84,D,150,U,-00.42,V,00.72,W,00.12,T,29.43,H,42.94,P,1000.50,PI,-000.1,RO,-000.2,MD,009,38.36,48.42,42.53,998.69
2025_10_9_13_12_38,,00.88,D,136,U,-00.60,V,00.63,W,00.09,T,29.57,H,42.97,P,1000.51,PI,-000.1,RO,-000.3,MD,009,38.38,48.40,42.55,998.73
2025_10_9_13_12_39,,00.93,D,143,U,-00.56,V,00.74,W,00.09,T,29.50,H,42.95,P,1000.51,PI,-000.1,RO,-000.3,MD,009,38.37,48.31,42.55,998.84
2025_10_9_13_12_39,,00.98,D,147,U,-00.54,V,00.82,W,00.04,T,29.33,H,42.96,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.36,48.39,42.55,998.61
2025_10_9_13_12_39,,01.00,D,157,U,-00.38,V,00.92,W,00.06,T,29.37,H,42.92,P,1000.51,PI,-000.1,RO,-000.3,MD,009,38.36,48.39,42.55,998.61
2025_10_9_13_12_39,,01.02,D,151,U,-00.50,V,00.89,W,00.12,T,29.35,H,42.96,P,1000.51,PI,-000.1,RO,-000.3,MD,008,38.35,48.37,42.55,998.61
2025_10_9_13_12_39,,01.21,D,147,U,-00.65,V,01.02,W,00.06,T,29.30,H,42.92,P,1000.50,PI,-000.1,RO,-000.3,MD,008,38.37,48.33,42.56,998.65
2025_10_9_13_12_40,,01.15,D,143,U,-00.69,V,00.92,W,00.08,T,29.39,H,42.90,P,1000.49,PI,-000.1,RO,-000.3,MD,009,38.36,48.36,42.56,998.53
2025_10_9_13_12_40,,01.19,D,142,U,-00.74,V,00.93,W,00.06,T,29.47,H,42.94,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.36,48.37,42.56,998.65
2025_10_9_13_12_40,,01.25,D,147,U,-00.68,V,01.05,W,00.04,T,29.34,H,42.88,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.37,48.35,42.58,998.57
2025_10_9_13_12_40,,01.13,D,147,U,-00.62,V,00.94,W,00.06,T,29.36,H,42.89,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.38,48.29,42.58,998.69
2025_10_9_13_12_40,,01.18,D,139,U,-00.77,V,00.89,W,00.07,T,29.62,H,42.85,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.38,48.32,42.58,998.57
2025_10_9_13_12_41,,01.23,D,138,U,-00.81,V,00.91,W,00.18,T,29.67,H,42.91,P,1000.49,PI,-000.1,RO,-000.3,MD,008,38.39,48.34,42.58,998.69
2025_10_9_13_12_41,,01.06,D,131,U,-00.79,V,00.69,W,00.15,T,30.01,H,42.82,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.40,48.36,42.60,998.73
2025_10_9_13_12_41,,00.93,D,127,U,-00.74,V,00.56,W,00.07,T,30.24,H,42.86,P,1000.51,PI,-000.1,RO,-000.3,MD,009,38.41,48.29,42.58,998.69
2025_10_9_13_12_41,,00.94,D,128,U,-00.73,V,00.58,W,00.04,T,30.13,H,42.91,P,1000.51,PI,-000.1,RO,-000.3,MD,009,38.40,48.34,42.60,998.73
2025_10_9_13_12_41,,00.85,D,133,U,-00.62,V,00.58,W,00.11,T,29.95,H,42.87,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.40,48.32,42.60,998.61
2025_10_9_13_12_42,,00.78,D,133,U,-00.57,V,00.53,W,00.11,T,29.98,H,42.88,P,1000.50,PI,-000.1,RO,-000.3,MD,008,38.39,48.30,42.60,998.61
2025_10_9_13_12_42,,00.84,D,122,U,-00.69,V,00.44,W,00.18,T,30.32,H,42.94,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.40,48.28,42.60,998.61
2025_10_9_13_12_42,,00.83,D,124,U,-00.67,V,00.45,W,00.21,T,30.54,H,42.91,P,1000.51,PI,-000.1,RO,-000.3,MD,009,38.39,48.30,42.61,998.77
2025_10_9_13_12_42,,00.62,D,110,U,-00.56,V,00.21,W,00.18,T,30.56,H,42.87,P,1000.50,PI,-000.1,RO,-000.3,MD,009,38.41,48.29,42.61,998.77
